,Close,High,Low,Open,Volume
2025-12-18,0.8001000285148621,0.8349000215530396,0.800000011920929,0.8349000215530396,9842
2025-12-19,0.8252000212669373,0.8252000212669373,0.8252000212669373,0.8252000212669373,1330
2025-12-22,0.7699999809265137,0.8001000285148621,0.7699999809265137,0.800000011920929,6753
2025-12-23,0.8799999952316284,0.8799999952316284,0.7799999713897705,0.7799999713897705,4148
2025-12-26,0.7900000214576721,0.8026999831199646,0.7850000262260437,0.8026999831199646,3012
2025-12-30,0.8798999786376953,0.8948000073432922,0.8700000047683716,0.879800021648407,12603
2025-12-31,0.8848000168800354,0.8848000168800354,0.8848000168800354,0.8848000168800354,106
2026-01-02,0.8252000212669373,0.8400999903678894,0.8076000213623047,0.8400999903678894,2340
2026-01-05,0.8474000096321106,0.8474000096321106,0.8100000023841858,0.8199999928474426,1309
2026-01-06,0.8349000215530396,0.8349000215530396,0.8349000215530396,0.8349000215530396,1000
2026-01-08,0.8500000238418579,0.8500000238418579,0.8199999928474426,0.8500000238418579,6259
2026-01-09,0.8799999952316284,0.8799999952316284,0.8600000143051147,0.8650000095367432,16435
2026-01-12,0.8799999952316284,0.9599900245666504,0.8600000143051147,0.8970000147819519,16501
2026-01-13,0.8999000191688538,0.9501000046730042,0.8600999712944031,0.949999988079071,24356
2026-01-14,0.9099000096321106,0.9100000262260436,0.8799999952316284,0.9100000262260436,10017
2026-01-15,0.8899000287055969,0.8899000287055969,0.7599999904632568,0.8600999712944031,23811
2026-01-16,0.8499000072479248,0.9194999933242798,0.8429999947547913,0.9194999933242798,37505
2026-01-20,0.800000011920929,0.8500000238418579,0.7998999953269958,0.8299999833106995,24607
2026-01-21,0.8299999833106995,0.8299999833106995,0.7997999787330627,0.800000011920929,28427
2026-01-22,0.7699999809265137,0.8593999743461609,0.7699999809265137,0.8199999928474426,120797
2026-01-23,0.7800999879837036,0.8199999928474426,0.7799999713897705,0.7799999713897705,82418
2026-01-26,0.7699999809265137,0.7900000214576721,0.7649999856948853,0.7900000214576721,57012
2026-01-27,0.7699999809265137,0.8873000144958496,0.7300000190734863,0.8873000144958496,26125
2026-01-28,0.7599999904632568,0.8399999737739563,0.7599999904632568,0.8399999737739563,4251
2026-01-29,0.7401999831199646,0.7953000068664551,0.7401999831199646,0.7599999904632568,6667
2026-01-30,0.75,0.75,0.75,0.75,671
2026-02-02,0.75,0.7960000038146973,0.7400000095367432,0.7953000068664551,25421
2026-02-03,0.6899999976158142,0.7900000214576721,0.6700000166893005,0.7900000214576721,21155
2026-02-04,0.699999988079071,0.699999988079071,0.6200000047683716,0.6700000166893005,11970
2026-02-05,0.6499000191688538,0.699999988079071,0.6499000191688538,0.6499999761581421,40152
2026-02-06,0.6499999761581421,0.6700000166893005,0.6050999760627747,0.6100000143051147,21864
2026-02-09,0.5874999761581421,0.6100000143051147,0.5601999759674072,0.6100000143051147,17629
2026-02-10,0.6237000226974487,0.6237000226974487,0.5202000141143799,0.5600000023841858,3928
2026-02-11,0.6098999977111816,0.6200000047683716,0.5889999866485596,0.6200000047683716,8722
2026-02-12,0.5045999884605408,0.6137999892234802,0.5,0.5473999977111816,19810
2026-02-13,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,1324
2026-02-17,0.550000011920929,0.550000011920929,0.550000011920929,0.550000011920929,3445
2026-02-20,0.5,0.5199999809265137,0.5,0.5099999904632568,8951
2026-02-23,0.5,0.5,0.4799999892711639,0.4900000095367431,4658
2026-02-25,0.5199999809265137,0.5199999809265137,0.5199999809265137,0.5199999809265137,1600
2026-02-26,0.4900000095367431,0.4900999963283539,0.4900000095367431,0.4900000095367431,2135
2026-02-27,0.5,0.5199999809265137,0.449999988079071,0.4799999892711639,13333
2026-03-02,0.4699999988079071,0.5199999809265137,0.4699999988079071,0.5199999809265137,210
2026-03-03,0.5029000043869019,0.5199999809265137,0.4650999903678894,0.4650999903678894,3200
2026-03-04,0.5299999713897705,0.5400000214576721,0.5299999713897705,0.5299999713897705,22100
2026-03-05,0.449999988079071,0.4600000083446502,0.449999988079071,0.4600000083446502,2465
2026-03-10,0.5440000295639038,0.5440000295639038,0.5199999809265137,0.5199999809265137,601
2026-03-12,0.5440000295639038,0.5440000295639038,0.5400000214576721,0.5439000129699707,881
2026-03-13,0.5392000079154968,0.5392000079154968,0.5199999809265137,0.5392000079154968,4491
2026-03-16,0.5392000079154968,0.5392000079154968,0.5311499834060669,0.5353999733924866,870
2026-03-17,0.612500011920929,0.6499999761581421,0.5231000185012817,0.5231000185012817,30819
2026-03-18,0.4700100123882293,0.6700000166893005,0.4700100123882293,0.6520000100135803,23130
2026-03-19,0.510200023651123,0.510200023651123,0.510200023651123,0.510200023651123,229
2026-03-20,0.5099999904632568,0.6299999952316284,0.5099999904632568,0.6000000238418579,1101
2026-03-23,0.5099999904632568,0.6000000238418579,0.5099999904632568,0.6000000238418579,685
2026-03-25,0.5202000141143799,0.5202000141143799,0.5202000141143799,0.5202000141143799,626
