,Close,High,Low,Open,Volume
2025-12-23,2.8499999046325684,3.0,2.8299999237060547,2.900000095367432,86778
2025-12-24,2.789999961853028,2.816499948501587,2.75,2.900000095367432,33905
2025-12-26,2.799999952316284,2.809999942779541,2.70009994506836,2.900000095367432,63536
2025-12-29,2.700000047683716,2.789999961853028,2.700000047683716,2.900000095367432,139974
2025-12-30,2.7249999046325684,2.73799991607666,2.640000104904175,2.900000095367432,120398
2025-12-31,2.680000066757202,2.700000047683716,2.569999933242798,2.900000095367432,282600
2026-01-02,2.7100000381469727,2.7300000190734863,2.619999885559082,2.900000095367432,48763
2026-01-05,2.700000047683716,2.760999917984009,2.630000114440918,2.900000095367432,90458
2026-01-06,2.890000104904175,2.930000066757202,2.6600000858306885,2.900000095367432,303210
2026-01-07,2.8299999237060547,2.950000047683716,2.799999952316284,2.900000095367432,571430
2026-01-08,2.859999895095825,2.950000047683716,2.8299999237060547,2.900000095367432,92107
2026-01-09,2.890000104904175,2.907000064849853,2.792200088500977,2.900000095367432,49452
2026-01-12,2.75,2.819999933242798,2.700000047683716,2.900000095367432,57355
2026-01-13,2.700000047683716,2.7578001022338867,2.680000066757202,2.900000095367432,29233
2026-01-14,2.680000066757202,2.799999952316284,2.650000095367432,2.900000095367432,210512
2026-01-15,2.809999942779541,2.880000114440918,2.6700000762939453,2.900000095367432,86909
2026-01-16,2.7799999713897705,2.8299999237060547,2.7300000190734863,2.900000095367432,55161
2026-01-20,2.7100000381469727,2.7799999713897705,2.680000066757202,2.900000095367432,38549
2026-01-21,2.930000066757202,2.969899892807007,2.650000095367432,2.900000095367432,205947
2026-01-22,2.859999895095825,3.049999952316284,2.809999942779541,2.900000095367432,162561
2026-01-23,2.7799999713897705,2.859999895095825,2.700000047683716,2.900000095367432,80697
2026-01-26,2.7300000190734863,2.737600088119507,2.650000095367432,2.900000095367432,98052
2026-01-27,2.6700000762939453,2.7100000381469727,2.619999885559082,2.900000095367432,139826
2026-01-28,2.609999895095825,2.690000057220459,2.5799999237060547,2.900000095367432,45613
2026-01-29,2.569999933242798,2.61680006980896,2.549999952316284,2.900000095367432,31907
2026-01-30,2.5,2.5299999713897705,2.470000028610229,2.900000095367432,64656
2026-02-02,2.5299999713897705,2.5699000358581543,2.4100000858306885,2.900000095367432,52586
2026-02-03,2.630000114440918,2.6600000858306885,2.440000057220459,2.900000095367432,66999
2026-02-04,2.6700000762939453,2.75,2.5799999237060547,2.900000095367432,123250
2026-02-05,2.5,2.6600000858306885,2.4800000190734863,2.900000095367432,74240
2026-02-06,2.650000095367432,2.6700000762939453,2.5199999809265137,2.900000095367432,65652
2026-02-09,2.630000114440918,2.650000095367432,2.569999933242798,2.900000095367432,38789
2026-02-10,2.630000114440918,2.6600000858306885,2.5701000690460205,2.900000095367432,41809
2026-02-11,2.650000095367432,2.650000095367432,2.549999952316284,2.900000095367432,39953
2026-02-12,2.609999895095825,2.690000057220459,2.549999952316284,2.900000095367432,45448
2026-02-13,2.559999942779541,2.5899999141693115,2.549999952316284,2.900000095367432,48743
2026-02-17,2.5199999809265137,2.559999942779541,2.490000009536743,2.900000095367432,49967
2026-02-18,2.680000066757202,2.680000066757202,2.4800000190734863,2.900000095367432,78126
2026-02-19,2.400000095367432,2.609999895095825,2.350100040435791,2.900000095367432,108391
2026-02-20,2.400000095367432,2.400000095367432,2.300100088119507,2.900000095367432,28393
2026-02-23,2.289999961853028,2.3299999237060547,2.2102999687194824,2.900000095367432,37517
2026-02-24,2.299999952316284,2.325000047683716,2.25,2.900000095367432,45817
2026-02-25,2.2699999809265137,2.3399999141693115,2.2100000381469727,2.900000095367432,53592
2026-02-26,2.319999933242798,2.3499999046325684,2.200000047683716,2.900000095367432,87118
2026-02-27,2.299999952316284,2.3499999046325684,2.2300000190734863,2.900000095367432,57171
2026-03-02,2.200000047683716,2.305000066757202,2.200000047683716,2.900000095367432,56518
2026-03-03,2.1700000762939453,2.2049999237060547,2.1600000858306885,2.900000095367432,157790
2026-03-04,2.2100000381469727,2.25,2.1600000858306885,2.900000095367432,33619
2026-03-05,2.190000057220459,2.25,2.130000114440918,2.900000095367432,71447
2026-03-06,2.1700000762939453,2.1700000762939453,2.1700000762939453,2.1700000762939453,0
2026-03-09,2.190000057220459,2.190000057220459,2.190000057220459,2.190000057220459,0
2026-03-10,2.0999999046325684,2.0999999046325684,2.0999999046325684,2.0999999046325684,0
2026-03-11,2.0999999046325684,2.0999999046325684,2.0999999046325684,2.0999999046325684,0
2026-03-12,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-13,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-16,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-17,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-18,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-19,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-20,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-23,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-24,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-25,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-26,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-27,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-30,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-03-31,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-01,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-02,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-06,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-07,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-08,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-09,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-10,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-13,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-14,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-15,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-16,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-17,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-20,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-21,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-22,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-23,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-24,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-27,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-28,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-29,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-04-30,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-01,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-04,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-05,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-06,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-07,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-08,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-11,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-12,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-13,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-14,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-15,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-18,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-19,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-20,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-21,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
2026-05-22,2.0350000858306885,2.0350000858306885,2.0350000858306885,2.0350000858306885,0
