Date,Close,High,Low,Open,Volume
2025-12-18,0.1899999976158142,0.1899999976158142,0.1899999976158142,0.1899999976158142,110
2025-12-26,0.1974000036716461,0.1974000036716461,0.1974000036716461,0.1800000071525573,4000
2025-12-31,0.2280000001192093,0.2280000001192093,0.2280000001192093,0.2280000001192093,200
2026-01-05,0.2280000001192093,0.2280000001192093,0.2280000001192093,0.1808000057935714,1
2026-01-06,0.2280000001192093,0.2280000001192093,0.2280000001192093,0.1808000057935714,1
2026-01-08,0.209999993443489,0.209999993443489,0.209999993443489,0.209999993443489,150
2026-01-09,0.209999993443489,0.209999993443489,0.209999993443489,0.2339999973773956,50
2026-01-15,0.2072000056505203,0.2072000056505203,0.2072000056505203,0.0,6
2026-01-22,0.2247000038623809,0.2280000001192093,0.2247000038623809,0.2280000001192093,410
2026-01-23,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,35
2026-01-30,0.2000000029802322,0.2000000029802322,0.2000000029802322,0.2199999988079071,6
2026-02-05,0.1850000023841858,0.1850000023841858,0.1850000023841858,0.1850000023841858,140
2026-02-09,0.1831000000238418,0.1831000000238418,0.1831000000238418,0.1836999952793121,53
2026-02-10,0.1999000012874603,0.1999000012874603,0.1999000012874603,0.18019999563694,30115
2026-02-13,0.2199999988079071,0.2199999988079071,0.1768999993801117,0.1997999995946884,23270
2026-02-17,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,46000
2026-02-19,0.1875,0.19200000166893,0.1700000017881393,0.19200000166893,500
2026-02-20,0.2300000041723251,0.2300000041723251,0.2257000058889389,0.2257000058889389,800
2026-02-23,0.2300000041723251,0.2300000041723251,0.2300000041723251,0.2193000018596649,2
2026-03-02,0.2199999988079071,0.2199999988079071,0.2199999988079071,0.2199999988079071,2502
